Normal,Simple,SARI,METEOR,ROUGE_F,BLEU,SPEARMAN_CORRELATION,PEARSON_CORRELATION
in questo non c è differenza,non c e nessuna differenza,47.4206,0.5111,0.0909,23.6,0,0
ma c è anche un altra considerazione da fare,piuttosto c e da fare un altra considerazione,77.3748,0.8648,0.1978,59.5,0,0
non ci sono ulteriori dettagli,non ci sono altri dettagli,100.0,0.996,0.1364,100.0,0,0
questo però era solo un esempio di tanti,ma e solo un esempio,63.8095,0.5889,0.0909,39.8,0,0
e questo probabilmente non è un bene,e non e un bene,45.8796,0.6313,0.1364,30.2,0,0
sorridendo il nano dell' isola disse al signor rossi che il suo gorilla stava solo giocando e che il signor rossi non si doveva agitare così tanto,sorridendo il nano dell'isola disse al signor rossi che il suo gorilla era solo che il signor rossi non si stava comportando cosi male,21.7238,0.6057,0.3091,42.3,0,0
muore durante il trasporto all ospedale,e morto durante il trasporto in ospedale,90.9722,0.8552,0.1333,80.9,0,0
come è possibile una cosa del genere,e giusta una cosa del genere,62.963,0.6615,0.1124,50.8,0,0
poi le cose sono andate come si sa,sappiamo come sono andate poi le cose,100.0,0.9985,0.1778,100.0,0,0
e non perdere mai la speranza,non possiamo perdere la speranza,72.2222,0.75,0.0909,42.7,0,0
2 il comma 4 è sostituito dal seguente 4,i commi da 2 a 4 sono sostituiti con i seguenti 4,100.0,0.9997,0.2737,100.0,0,0
cuocete in forno preriscaldato a 200 ° c per circa mezz ora,cuocete in forno a 200 ° c per circa un ora,46.2037,0.829,0.2083,47.1,0,0
potremmo andare a trovar- la domani,posso andare a trovar - la,30.754,0.5011,0.1333,18.0,0,0
poi le cose andarono come tutti sanno,poi le cose andarono come sappiamo,42.9167,0.5011,0.0225,18.0,0,0
mi fermo qui il discorso è complesso,mi spiego qui il discorso,39.3056,0.433,0.0455,26.7,0,0
è un passo nella giusta direzione anche se tardivo,e un passo nella direzione giusta,66.8813,0.83,0.1573,76.0,0,0
e poi era successo ancora una volta,e successo solo una volta,65.4762,0.5111,0.0682,23.6,0,0
l amore è una delle cose primordiali,l amore e una cosa strana,41.3095,0.7353,0.1124,23.0,0,0
certo c è ancora molta strada da fare,molta strada deve essere ancora fatta,33.8889,0.2174,0.0,9.0,0,0
una risposta semplice ovviamente non esiste,una risposta non esiste,55.0463,0.7653,0.092,35.2,0,0
il sangue comunque non è acqua,il sangue non e acqua,48.9352,0.6356,0.1136,35.0,0,0
preannuncia infine la presentazione di alcuni emendamenti,preannuncia la presentazione di alcuni emendamenti,66.6667,0.8535,0.1556,67.3,0,0
ma questa è una favola,ma questa e una favola,36.8056,0.5111,0.0682,23.6,0,0
finalmente pensò,ma poi penso che era veramente felice,33.3333,0.0,0.0,3.3,0,0
si potrebbe sospendere la seduta fino alle 11,sospende la seduta fino alle 11,66.6667,0.83,0.1333,76.0,0,0
aveva afferrato l’ oca per il collo e le aveva bloccato la testa come in una morsa,aveva preso l ’ oca per il collo e le aveva bloccati la testa come una mordiva,34.6175,0.6466,0.1176,15.1,0,0
ho da por- le un quesito importante,ho da porre un quesito,100.0,0.996,0.1573,100.0,0,0
in italia purtroppo non è così,in italia non e cosi,47.7778,0.5889,0.1364,39.8,0,0
specie in una fase come è questa di assoluta transizione,specie in una fase di transizione,73.1313,0.83,0.1124,76.0,0,0
fortunatamente ci sono buone notizie,ma c e una buona notizia,78.8119,0.7353,0.1124,32.5,0,0
e questo è un peccato,ed e veramente un peccato,63.8889,0.5111,0.0909,23.6,0,0
era solo un episodio fra altri,ma e solo un episodio,47.1429,0.75,0.0909,42.7,0,0
non è solo un episodio,non e solo un episodio,35.4167,0.3,0.0682,14.1,0,0
questa è una non scelta,non e una scelta indolore,52.9762,0.4331,0.0674,19.4,0,0
forse ne varrebbe la pena,forse ne vale la pena,62.6984,0.4331,0.0455,19.4,0,0
e non è un caso ovviamente,e non e certamente un caso,53.4722,0.5011,0.0674,18.0,0,0
ma non ha più un lavoro,ma non ha un lavoro,72.1296,0.7938,0.0682,66.9,0,0
la prova è stata giudicata di ottimo livello,la prova viene provata di ottimo livello,56.6829,0.8413,0.1538,41.1,0,0
  a dalla noce&#xbb,a dalla mese & # xbb e divertente,17.1591,0.7806,0.1087,25.8,0,0
la ringrazio e le porgo cordiali saluti,la ringrazio moltissimo e le porgo cordiali saluti,24.359,0.7923,0.129,27.1,0,0
il presente decreto inviato alla corte dei conti per la registrazione entra in vigore il giorno successivo alla pubblicazione nella gazzetta ufficiale della repubblica italiana,il presente decreto sara inviato alla corte dei conti per la sua registrazione ed entrera in vigore il giorno successivo alla sua pubblicazione nella gazzetta ufficiale della,70.3794,0.8673,0.5091,73.7,0,0
il giudizio è ottimo,il giudizio risultante e ottimo,27.9762,0.3,0.0682,14.1,0,0
questa non è esattamente la verità,non e questa la verita,50.1389,0.5111,0.1364,23.6,0,0
raccomanda infine l approvazione della propria proposta di parere,raccomanda quindi l approvazione della sua proposta di parere favorevole,50.4497,0.8723,0.1505,52.5,0,0
la partita è ancora apertissima quindi,la partita e quindi ancora aperta,37.3611,0.7353,0.1124,23.0,0,0
non tutti i mali insomma vengono per nuocere,non tutti i mali vengono per nuocere,100.0,0.9985,0.1978,100.0,0,0
la nostra salute sarà perfetta nell immortalità,la nostra salute e anche nell umana,61.8056,0.4827,0.0444,24.4,0,0
naturalmente il tutto ha un costo,tutto il costo avra un costo,40.2778,0.4259,0.0449,18.0,0,0
vi faccio un esempio,vi faccio un esempio semplicissimo,66.6667,0.7938,0.0899,66.9,0,0
si ritiene pertanto il candidato pienamente meritevole di essere ammesso alle successive prove,si ritiene pertanto di ammettere la candidata alle prove successive,56.9048,0.6724,0.1277,23.0,0,0
non sanno più che pesci prendere,non sappiamo che pesci prendere,66.6667,0.75,0.0909,42.7,0,0
è appunto questo il problema,questo e il nostro problema,50.8929,0.2542,0.0455,11.5,0,0
esisterebbe però anche un problema strutturale,esiste pero un problema enorme,57.9167,0.3,0.0682,14.1,0,0
anche qui però casca l asino,ma forse qui casca l asino,45.0,0.0833,0.0222,8.1,0,0
  zioni con una delle pi&#xf9 lunghe tradizion nella progettazione e costruzione di sottomarini spicca anche il giappone che mise in servizio i suoi primi i già a partire dalla guerra russo giapp   epoca modernissime come l' unità nr 71 sorprendentemente peró i progetti delle unità realizzate durante la seconda guerra mondiale   dell class i-400 e kd non furono altrettanto rius   à dalle dimensioni spropositate spesso ate di un hangar per ospitare un velivol   inisottomarino o un kaiten da impiegare per effettuare attacchi le unità nemiche ormeggiate in porto qu   ute agli alleati che le ispezionarono nei porti giapponesi erano ormeggiate il grosso della flotta venne quindi autoaffondato al largo delle coste mentre alcune poche unità ritenute di interesse d parte delle forze alleate furono trasfe   la marina militare giapponese ricevette in prestito dagli stati uniti un sottoma   se gato che portava il nome di uss mingo il primo sottomarino di fabbricazione giapponese a e in servizio nel dopoguerra fu invece lo    fu la prima unità della classe hayashioa ulteriri tre   che vennero acquisit nel corso degli anni attualmente il giappone possiede una flottiglia di 18   convenzionali e sta sperimentando battelli con propul   nto della precedente classe yushio con scafo a goccia e siluri guidati di tipo mk48 adcap   sonar fisso zqq e sonar filabile tass,zioni con una delle pi & # xf9 lunghe tradizioni nella progettazione e costruzione di sottomarini spicca anche il giappone che mise in servizio i,16.1009,0.1029,0.5091,0.0,0,0
per ulteriori informazioni consultare la pagina,per ulteriori informazioni potete consultare la pagina,34.5599,0.7311,0.0889,27.8,0,0
"la seduta è tolta ore 12,05","la seduta e tolta alle ore 15, 05",33.6772,0.6194,0.1522,14.3,0,0
persino luisa sembrava un po’ titubante,anche luisa sembrava triste,17.123,0.2799,0.023,19.4,0,0
propone pertanto alla commissione di esprimere parere favorevole,propone pertanto alla commissione di esprimere parere favorevole,54.1162,0.8406,0.1319,42.7,0,0
le due ragazze pensarono che il recupero a notte fonda non era stato una tanto buona idea dopo tutto,le due ragazze pensarono che il suo obiettivo era una buona idea,61.2169,0.4808,0.1458,25.5,0,0
posto ai voti l emendamento 7.0.1 è respinto,posto ai voti l emendamento 5. 0. 1 e respinto,58.1553,0.7011,0.2737,33.2,0,0
magari sono anche in forma,ma alcune sono anche in forma,40.4762,0.2941,0.0225,10.7,0,0
ed è un bene per tutti,ed e stato un bene,69.504,0.75,0.1364,42.7,0,0
  icolori che ne sono state divulgate,iciali che sono state divulgazione,8.3333,0.4331,0.0449,19.4,0,0
probabilmente è solo una questione di tempo,o e solo una questione di tempo,55.1984,0.7632,0.0889,41.1,0,0
non erano sicuri di quanto poteva valere ma il vecchio tempesta disse che se la vendevi il denaro poteva far comprare davvero tanto gelato,non erano sicuri di quanto poteva durare ma il vecchio tempesta disse che se la denaro poteva far - lo,23.3701,0.7112,0.2913,53.3,0,0
su questo non sono per nulla d accordo,ancora non sono d accordo,80.5556,0.7938,0.0909,66.9,0,0
articolo 123 il presente accordo è approvato dalle parti contraenti conformemente alle loro rispettive procedure,articolo 123 il presente accordo e approvato dalle parti secondo le rispettive procedure,73.1629,0.9209,0.2917,76.1,0,0
il problema mi sembra però un altro,il problema mi sembra un altro,75.5519,0.7217,0.1124,64.3,0,0
la risposta naturalmente è no,la risposta e molto probabilmente no,55.754,0.5011,0.0674,18.0,0,0
i risultati fallimentari sono sotto gli occhi di tutti,il risultato e sotto gli occhi di tutti,75.0,0.8648,0.1978,59.5,0,0
la patente gli è stata ritirata,la patente e stata ritirata,46.713,0.75,0.1364,30.2,0,0
lì si è giocata la partita,la partita si e giocata alla pari,59.4444,0.8413,0.1778,41.1,0,0
già come faccio a dir- lo,e soprattutto come fare a dir - lo,61.6294,0.8294,0.1978,54.1,0,0
la sinistra è questo o non è,non e possibile la sinistra,40.8333,0.2972,0.0455,10.6,0,0
qui c è un occasione da non perdere,e un occasione da non perdere,56.5873,0.5752,0.0899,43.0,0,0
lo si faceva e basta,lo ha fatto e basta,59.7222,0.375,0.0455,21.4,0,0
e a quale punto saremo,e a che punto siete,100.0,0.996,0.1364,100.0,0,0
e ancora sono solo una minoranza,ma sono solo una minoranza,43.6508,0.5111,0.0682,23.6,0,0
i risultati positivi sono sotto gli occhi di tutti,il risultato e oggi sotto i vostri occhi,52.904,0.3599,0.044,12.2,0,0
ora però la situazione è cambiata,ma ora la situazione e cambiata,36.2963,0.7353,0.1124,32.5,0,0
devi chieder- lo direttamente alle università degli studi,devi chieder - lo alle universita degli studi,28.4921,0.6282,0.2174,16.5,0,0
non c è una via d uscita,non c e altra via d uscita,66.2662,0.8413,0.1778,48.9,0,0
non è un caso,non puo essere un caso,76.3889,0.75,0.1364,42.7,0,0
come aggiungo una firma ai miei messaggi,come scrivere una firma ai tuoi messaggio,38.75,0.3235,0.0222,12.6,0,0
la questione non è fondata,anche questa questione non e fondata,40.873,0.1449,0.0225,8.2,0,0
ma non era una novità,non e questo certo una novita,45.6944,0.0833,0.0449,8.1,0,0
altrimenti i conti non tornano,altrimenti i conti non tornano,44.0741,0.535,0.0455,20.8,0,0
o era anche questo un gioco,o era solo un gioco,71.3889,0.5889,0.0682,39.8,0,0
da dove viene l interesse,da dove viene questo interesse,100.0,0.996,0.1364,100.0,0,0
l articolo 357 del codice penale è sostituito dal seguente art,l articolo 357 del codice penale e sostituito con il seguente art,67.5376,0.9139,0.2917,73.5,0,0
è comunque in buona compagnia,siamo comunque in buona compagnia,52.6984,0.5889,0.0682,39.8,0,0
come si vince una guerra,come si vince questa guerra,100.0,0.996,0.1364,100.0,0,0
prima di tutto è un problema etico,questo e un problema serio,14.0278,0.2435,0.0455,11.7,0,0
dove inoltre potrei trovare riferimenti normativi,dove posso trovare dei riferimenti normativi,77.0833,0.8067,0.1124,38.0,0,0
  anio è perfettamente conservato ed è di morfologia normale senza segni di fratture e con    anche se a sinistra è riconoscibile un co del bulbo oculare il tessuto celebrale   atrofizzato e collassato con calcificaz    che in posizione pi&#xf9 canonica le ossa   regolar e l' articolazione del gomito presenta un   e ha fornito informazioni dettagliate sulegament e sui residui dei interni llegament si   dimostrat in ottimo stato di conservazione compa,anio e perfettamente conservato ed e di aspetto normale senza segni di fratture e con anche se a sinistra e riconoscibile un cedimento del bulbo,30.9569,0.2729,0.5091,7.4,0,0
la risposta è semplicissima,la risposta e semplice e grave,44.7222,0.5011,0.0674,18.0,0,0
questo non è un gioco di parole,non e solo un gioco di parole,36.048,0.7934,0.1333,43.5,0,0
non esiste niente di simile,non esiste di simile a questo,36.8056,0.4259,0.0449,18.0,0,0
trovare una soluzione accettabile per tutti non sarà certamente cosa facile,trovare una soluzione non era facile,75.0,0.8067,0.1124,53.7,0,0
precluso ogni accertamento fiscale e previdenziale sui redditi di lavoro per gli anni regolarizzati,e precitato ogni accertamento icef sui redditi di lavoro lavoro obbligatorio per gli anni deboli,16.9298,0.625,0.1765,27.2,0,0
l articolo 23 del codice penale è sostituito dal seguente art,l articolo 23 del codice penale e sostituito con il seguente art,67.5376,0.9139,0.2737,73.5,0,0
ma certo l ho detto mille volte,l hai detto piu volte,40.6944,0.2,0.0227,12.7,0,0
ma ci vorrà del tempo,ma ci vorra molto tempo,55.5556,0.5111,0.0909,23.6,0,0
invece le cose sono andate diversamente,le cose vanno diversamente,52.6786,0.3827,0.023,24.9,0,0
non tutti i mali vengono per nuocere comunque,non tutti i mali vengono per nuocere comunque,97.1199,0.9845,0.1739,84.1,0,0
naturalmente non ci si può nascondere dietro un dito,non possiamo nasconder - ci dietro un dito,77.4074,0.8294,0.2174,41.1,0,0
mentre passeggiava per il paese ugolino intravide un vecchio signore allontanarsi in bicicletta,mentre passeggiava per il paese ugolino vide un vecchio signore usci in bicicletta,56.0211,0.8376,0.2424,62.6,0,0
e il gioco perverso è fatto,e da li il gioco e fatto,42.8241,0.607,0.1111,15.6,0,0
il sito è visionabile in inglese tedesco spagnolo e italiano,il sito e visionabile anche in inglese,27.9762,0.647,0.1522,17.8,0,0
c è ancora del lavoro da fare,c e ancora molto lavoro comune da fare,49.7222,0.1685,0.044,6.4,0,0
quali progetti ci sono per il futuro,quali sono i tuoi progetti per l immediato futuro,62.6981,0.8541,0.1522,61.0,0,0
naturalmente ci sono anche alcune ombre,e c e anche un altra ombre,43.1944,0.082,0.0222,6.6,0,0
è un bel pasticcio,e proprio un bel pasticcio,75.1984,0.7938,0.1573,66.9,0,0
progressi ne sono stati fatti dunque,ma sono stati fatti pochi passi,27.0833,0.5773,0.0449,30.2,0,0
ma il problema c è,ma il vero problema e un altro,78.869,0.8413,0.1778,48.9,0,0
l appello conclusivamente deve essere respinto,l appello deve dunque essere respinto,48.4289,0.8067,0.0899,38.0,0,0
la commissione prosegue l esame rinviato da ultimo nella seduta del 26 settembre 2002,la commissione prosegue l esame rinviato nella seduta del 26 settembre 2002,100.0,0.9997,0.2917,100.0,0,0
era nato a firenze nel 1938,sono nato a firenze nel 1938,28.7927,0.83,0.1124,76.0,0,0
qual è secondo voi la soluzione giusta,nan,41.2698,0.0,0.0,0.0,0,0
al peggio non c era mai limite,non c e limite al peggio,71.5278,0.8067,0.1573,38.0,0,0
probabilmente le cose stanno così,le cose stanno esattamente cosi,50.1984,0.5111,0.0227,23.6,0,0
cosa potete dir- me al riguardo,cosa puo dire a questo riguardo,84.8611,0.8067,0.1573,53.7,0,0
tuttavia c era un fondo di verità,un fondo di verita c era,42.4964,0.8067,0.1573,38.0,0,0
il sito è stato appena realizzato,il sito e stato appena realizzato,35.2778,0.4259,0.0674,18.0,0,0
non si può far finta di niente,non potete far finta di niente,85.119,0.6881,0.1348,60.7,0,0
era il leggendario nano dell' isola che i due gemelli avevano già incontrato,era il vecchio nano dell'isola che i due gemelli avevano gia incontrato,33.8492,0.4778,0.2062,15.1,0,0
così non è anzi,cosi non puo piu essere,52.381,0.2,0.1364,12.7,0,0
tale ordine del giorno è stato pienamente accolto dal governo,il governo accoglie l ordine del giorno,61.8122,0.8413,0.1333,41.1,0,0
per ulteriori informazioni telefonare allo 028693659,per informazioni telefonare allo 028693659,100.0,0.996,0.2366,100.0,0,0
non si può facilmente cancellare il passato,non possiamo neanche perdere il passato,35.9722,0.1923,0.0449,7.7,0,0
ha avuto fin da subito un grandissimo successo,ha avuto un grande successo,79.5635,0.7938,0.0909,66.9,0,0
sì è un periodo proprio strano,e solo uno strano periodo,85.5556,0.7938,0.1364,66.9,0,0
si possono cambiare le cose,le cose possono anche cambiare,67.2222,0.75,0.0682,42.7,0,0
e soprattutto a cosa servono,a e a cosa serve,100.0,0.996,0.1364,100.0,0,0
si esprime pertanto un giudizio pienamente positivo,esprimo pertanto un giudizio favorevole,47.8175,0.375,0.0225,21.4,0,0
è a quest ultima domanda che tutti vorrebbero dare una risposta,a questa domanda e che tutti posssono dare una risposta,68.7461,0.7182,0.0851,26.3,0,0
il problema non è solo questo,ma i problemi non sono questi,100.0,0.9977,0.1573,100.0,0,0
la collocazione editoriale delle pubblicazioni è generalmente sufficiente,la collocazione editoriale di alcune pubblicazioni e rilevante,28.9286,0.5282,0.0879,22.1,0,0
di albanesi non c è traccia,di quest ultimi non c e traccia,50.463,0.7454,0.1556,55.8,0,0
il lavoro da fare è ancora molto,molto lavoro e ancora da fare,64.1432,0.8067,0.1573,38.0,0,0
conseguentemente all articolo 3 comma 1 sopprimere il secondo periodo,all articolo 3 al comma 1 e soppresso il secondo periodo,35.5334,0.5204,0.0426,17.2,0,0
oggi tutti questi ostacoli sono superati,anche questo ostacolo e superato,78.8119,0.6356,0.1136,35.0,0,0
però una speranza c è,e ovviamente soprattutto una speranza,47.2222,0.1695,0.0227,10.4,0,0
beh quello è il mio marchio di fabbrica da sempre,e il mio vecchio nome di fabbrica,58.3333,0.4189,0.0222,14.5,0,0
è un mio ricordo questo,questo e un mio ricordo,39.5833,0.2542,0.0682,11.5,0,0
sono abrogate tutte le disposizioni legislative e regolamentari anche speciali incompatibili o in contrasto con la presente legge,sono abrogate tutte le disposizioni in contrasto o comunque incompatibili con la presente legge,46.3762,0.4495,0.102,21.1,0,0
questo non vuole essere un rimprovero,non voleva essere un rimprovero,100.0,0.996,0.1573,100.0,0,0
questa fu una scelta minoritaria,questa e una scelta possibile,70.8333,0.6313,0.0682,25.4,0,0
spero in una sua risposta cordialmente,spero tanto in una sua risposta,38.8889,0.5718,0.0899,24.6,0,0
vi sembra una cosa da poco,vi sembra una cosa logica,66.6667,0.7938,0.0909,66.9,0,0
così il gioco è fatto,ma il gioco e fatto,70.8333,0.6313,0.0455,25.4,0,0
è proprio questo il nocciolo della questione,qui e il nocciolo della questione,68.5185,0.8067,0.1778,53.7,0,0
27 non è un dio dei morti ma dei viventi,27 non e un dio dei morti ma dei vivi,24.6296,0.7938,0.1935,58.1,0,0
il 29 giugno del 1951 è stato ordinato sacerdote,il 29 giugno del 1942 e stato approvato sacerdote,45.9936,0.5975,0.1087,31.6,0,0
certo non è la soluzione del problema,il problema non e di facile soluzione,63.1295,0.6371,0.1333,27.8,0,0
questo sarebbe un ottimo lavoro,e davvero un buon lavoro,65.5556,0.3,0.0455,14.1,0,0
c è decisamente qualcosa di strano,che c e di strano,66.7262,0.75,0.1364,30.2,0,0
ovviamente si prevede la pubblicazione degli atti,si prevede la pubblicazione degli atti,55.9722,0.6615,0.0899,50.8,0,0
la ringrazio sempre della sua infinita disponibilità e saluto cordialmente,la ringrazio per la sua disponibilita e la saluto,79.9285,0.8819,0.2366,59.7,0,0
la situazione di certo non migliorava,ma la situazione non migliora,86.1111,0.7938,0.0909,66.9,0,0
c è una situazione molto strana,la situazione e molto diversa,44.8611,0.0847,0.0,8.7,0,0
il risultato della valutazione dei titoli deve essere reso noto agli interessati prima dell effettuazione delle prove orali,il risultato della valutazione dei titoli e reso noto agli interessati prima dell effettuazione delle prove orali,62.1435,0.7536,0.297,63.0,0,0
questo è un fatto,questo e un fatto innegabile,36.1111,0.4573,0.0449,21.4,0,0
e mi venne un idea gustosa,e mi venne questa idea,100.0,0.996,0.1364,100.0,0,0
inoltre sarebbe necessaria un altra distinzione,ma e necessaria un altra distinzione,47.9762,0.526,0.0449,19.3,0,0
perchè la mia risposta è sempre la stessa,la mia risposta e stata sempre molto semplice,35.787,0.1887,0.044,6.6,0,0
con nulla lasciato al caso,con tutto cio lasciato al caso,56.25,0.4907,0.0674,30.2,0,0
"la seduta è tolta ore 10,35","la seduta e tolta alle ore 12, 35",37.0106,0.6722,0.2174,22.3,0,0
nel mio caso si tratta di questo,in questo caso si tratta di un caso,85.119,0.7923,0.1319,68.0,0,0
sicuramente ci saranno dei ritardi,ci possono essere dei ritardi,100.0,0.996,0.1364,100.0,0,0
conclusivamente propone di esprimere parere favorevole con una osservazione,propone pertanto di esprimere un parere favorevole con una osservazione,63.9964,0.6347,0.129,48.6,0,0
il giudizio è quindi pienamente positivo,positivo e il mio giudizio,75.1984,0.75,0.1364,42.7,0,0
all udienza del 3 aprile 2003 il ricorso è stato trattenuto per la decisione,alla pubblica udienza del 3 aprile 2003 i ricorsi venivano trattenuti in decisione,48.8425,0.571,0.1649,45.0,0,0
all udienza del 19 novembre 2002 la causa stata trattenuta in decisione,alla pubblica udienza del 19 novembre 2002 la causa veniva trattenuta in decisione,41.9841,0.4541,0.1237,30.1,0,0
questa è la cosa più importante,questa e stata la cosa principale,27.0833,0.5011,0.0674,18.0,0,0
e allora cosa dovrebbe fare,ed allora cosa dobbiamo fare,51.3889,0.2,0.0227,12.7,0,0
il punto è come se ne esce,il punto e come ne uscire,33.3796,0.526,0.0899,19.3,0,0
insomma qual è il problema,dov e il problema allora,52.7778,0.375,0.0227,21.4,0,0
e sarebbe già uno straordinario risultato,gia questo e un grande risultato,65.9722,0.1961,0.0449,9.7,0,0
ma questo è vero solo a metà,tutto questo e vero a meta,46.8452,0.625,0.1573,23.0,0,0
l inizio dunque non è dei migliori,eppure l inizio non era stato dei migliori,36.9475,0.6817,0.0879,25.8,0,0
il problema è semmai un altro,c e un altro problema aperto,54.1667,0.4259,0.0449,18.0,0,0
questo è un tipico falso storico,e un falso storico gravissimo,61.1706,0.4642,0.0674,17.0,0,0
dopo una settimana di navigazione ernesta e la sua nuova cagnetta chiazza avvistarono un asteroide bianco e nero,dopo una settimana di vacanza ernesta e la sua nuova cagnetta chiazza videro un pianeta bianco e nero,80.5969,0.897,0.381,69.1,0,0
in caso di imprese riunite dovranno essere indicate tutte le imprese riunite evidenziando l impresa mandataria capogruppo,in caso di imprese singole dovranno essere indicate tutte le imprese finora incoraggianti evidenziando l impresa leader,30.2334,0.6652,0.1961,43.5,0,0
ma qual è la realtà dei fatti,invece e la realta dei fatti,24.5833,0.5011,0.1124,18.0,0,0
anche in questo caso la risposta certa non c è,anche in questo caso la risposta non c e,72.8932,0.706,0.1522,65.0,0,0
l uomo si è davvero fatto dio,l uomo si e fatto dio,52.0833,0.4259,0.0674,18.0,0,0
ed è solo all inizio,ed era solo l inizio,100.0,0.996,0.1364,100.0,0,0
adesso si passa ai fatti,poi si deve passare ai fatti,63.5516,0.625,0.0674,32.5,0,0
"sospendo pertanto la seduta fino alle ore 10,30","sospendo pertanto la seduta fino alle ore 10, 30",43.5606,0.5137,0.0851,11.9,0,0
ed è anche un peccato,ed e stato un peccato,67.4206,0.75,0.1364,42.7,0,0
naturalmente è un opinione,ovviamente e una mia opinione,75.1984,0.75,0.1364,42.7,0,0
in attesa di urgente riscontro si inviano distinti saluti,in attesa di un vostro riscontro vi inviamo distinti saluti,39.3987,0.6724,0.1277,32.5,0,0
153 sostituire il comma 8 con il seguente 8,i commi da 153 a 8 sono sostituiti con i seguenti 8,100.0,0.9997,0.2737,100.0,0,0
  bili allo scopo che si vuole ottenere,solamente a questo scopo che si puo ottenere,13.0051,0.5282,0.0659,22.1,0,0
qual è quindi lo scopo della vita,e questo il scopo della vita,44.7222,0.5435,0.0899,27.5,0,0
per me è come un fratello o quasi,per me e un fratello o un fratello,29.4336,0.6048,0.044,15.6,0,0
questo sarebbe un falso problema,questo e un problema comune,68.5185,0.4331,0.0682,19.4,0,0
non è proprio così,non puo proprio essere cosi,66.25,0.5111,0.1364,23.6,0,0
il viceversa non è invece vero,il contrario non e vero,22.0833,0.3,0.0909,14.1,0,0
la mia è un idea corretta,la mia e un idea,50.5952,0.1695,0.0,10.4,0,0
per ulteriori informazioni rivolger- si all u.o,per maggiori informazioni ci si puo rivolgere all a,31.3484,0.625,0.1304,18.7,0,0
spero possa esser- vi d aiuto,spero le possa essere d aiuto,81.0119,0.949,0.1124,53.7,0,0
sostituire l articolo 134 con il seguente art,134 l articolo 567 e sostituito dal seguente art,79.9603,0.7687,0.172,43.2,0,0
vorrei dir- vi una cosa,voglio dire ancora una cosa,62.2222,0.375,0.0455,21.4,0,0
conseguentemente all articolo 39 dopo il comma 14 inserire il seguente 14 bis,dopo il comma 39 dell articolo 14 e inserito il seguente 14 bis,54.1777,0.8064,0.1875,41.9,0,0
e c è anche un motivo in più,ma c e anche un altro motivo piu misterioso,54.8611,0.2381,0.0,6.3,0,0
alla luce delle considerazioni testé svolte formula quindi una proposta di parere favorevole con osservazioni vedi allegato,alla luce delle considerazioni indicate nella relazione comparativa con una osservazione vedi allegato,38.6321,0.4407,0.1443,26.4,0,0
qui la situazione è molto composita,qui la situazione e molto complessa,29.6296,0.625,0.1124,32.5,0,0
la realtà però forse è un pò meno semplice,la realta e un po semplice,47.9167,0.1667,0.0899,9.7,0,0
dove sta dunque lo scandalo,dove sta dunque lo scandalo,46.2963,0.75,0.0682,30.2,0,0
poi la situazione si è capovolta,poi la situazione e capovolta,45.1389,0.5111,0.1124,23.6,0,0
per l uomo tuttavia non c era più nulla da fare,per l uomo non c e piu molto da fare,64.1634,0.6347,0.1505,40.9,0,0
per ulteriori e più complete informazioni consultate il sito,per ulteriori informazioni consultare i siti,73.7103,0.6615,0.0899,50.8,0,0
ma c è poi alla fin fine così tanta differenza tra i due,ma alla fine c e una differenza tra i due,31.455,0.3849,0.0645,10.0,0,0
è un libro incantevole da non perdere,e un libro incantevole da non perdere,23.6111,0.7934,0.1333,30.7,0,0
la seduta è stata tolta alle ore 11.45,la seduta viene tolta alle ore 19. 45,83.6111,0.8314,0.2174,58.7,0,0
ce n è per tutti i gusti dunque,ce ne sono di tutti i gusti,59.6892,0.8413,0.1333,41.1,0,0
oggi il rapporto è meno di 1 a 2,il rapporto e di 1 a 2,56.9053,0.8413,0.1778,48.9,0,0
se sì vorrei saper- ne di più,se volete saper - ne di piu,29.3452,0.3606,0.1111,13.1,0,0
anche il silenzio si è rotto,ora il silenzio e rotto,57.8373,0.5111,0.0909,23.6,0,0
la decisione è inappellabile,la decisione e quindi inammissibile,41.3889,0.3178,0.0444,17.5,0,0
vorrei però fare prima una premessa,prima voglio fare una premessa,65.4762,0.5111,0.0455,23.6,0,0
questo è naturalmente il mio pensiero,questo e solo il mio modesto pensiero,71.131,0.7934,0.1333,43.5,0,0
risposta porgo cordiali saluti,rispostago cordiali saluti,9.7222,0.2232,0.0909,0.0,0,0
ma non è la sola,ma non e la sola,48.0291,0.5628,0.1364,22.5,0,0
ma chi può dir- lo con piena certezza,puo dir - lo con certezza,39.8611,0.5773,0.1573,30.2,0,0
dopo una lunga consultazione ernesta e i suoi compagni conclusero che il modo migliore per gli abitanti della via era quello di realizzare un sistema per raffreddare la calda aria estiva,dopo una lunga conoscenza ernesta e i suoi compagni decisero di realizzare un modo migliore per gli abitanti della via stretta e per raffreddare la gente,44.0135,0.232,0.1273,12.0,0,0
e ci sarà un motivo,e ci sono altri motivi,100.0,0.996,0.1364,100.0,0,0
anzi la differenza è tutta qui,ed e qui tutta la differenza,78.2407,0.8067,0.1573,53.7,0,0
la ringrazio per la sua sempre sollecita risposta,la ringrazio per la sua autorevole risposta,48.6111,0.3651,0.0659,24.4,0,0
la responsabilità è tutta del governo,tutta la responsabilita e del governo,50.6944,0.4259,0.0899,18.0,0,0
