Normal,Simple1,Simple2,SARI,METEOR,ROUGE_F,BLEU
"Dostoevskij, la cui opera è spesso considerata un precursore filosofico dell'esistenzialismo, ha spesso espresso una preoccupazione simile nei suoi romanzi",Dostokovich è spesso considerato un precursore del precursore filosofico dell'esistenzialismo,"[""Dostokovich è spesso considerato un precursore del precursore filosofico dell'esistenzialismo""]",7.0317,0.2457,0.2857,6.7
Questo può essere utilizzato per scalare le virgolette grafiche verso l'alto o verso il basso per adattarle a citazioni più grandi o più piccole,Questo può essere utilizzato per scalare le virule grafiche verso l'alto o verso il basso,"[""Questo può essere utilizzato per scalare le virule grafiche verso l'alto o verso il basso o verso la basso""]",21.6607,0.5822,0.6667,43.9
Vi faccio un esempio concreto,Faccio un esempio concreto,['Faccio un esempio concreto'],44.6429,0.5215,0.2857,27.5
Ma la sfida è stata lanciata,La grande sfida è lanciata,['La grande sfida è lanciata'],100.0,0.996,1.0,100.0
Questo è un problema delicato,Questo è un nostro problema,['Questo è un nostro problema'],13.75,0.5111,0.0,23.6
E c' è una grande differenza,E c'è una grande differenza,"[""E c'è una grande differenza""]",43.75,0.3846,0.0,14.1
Ora tutti sanno che è andata a finire,Sappiamo che è andata a finire,['Sappiamo che è andata a finire'],65.6614,0.8067,0.5,53.7
Poi però la situazione è precipitata,Allora la situazione è precipitata,['Allora la situazione è precipitata'],66.6667,0.7938,0.6667,66.9
Nessuno è stato in grado di stabilire se si siano presentate 20.000 o 30.000 persone,Neanche se si è in grado di stabilire se si sono presentate 20. 000 persone,['Neanche se si è in grado di stabilire se si sono presentate 20. 000 persone'],17.8909,0.5699,0.5714,33.3
"Non devono pensare , altrimenti sono guai","Non dobbiamo pensare, altrimenti saranno guai","['Non dobbiamo pensare, altrimenti saranno guai']",26.8939,0.3279,0.2,9.3
Perché il tuo compito non sarà facile,Questo compito non sarà facile,['Questo compito non sarà facile'],25.873,0.6356,0.4444,32.6
"Si passa , quindi , alla votazione degli emendamenti all' articolo 3",Si passa quindi alla votazione degli emendamenti relativi all'articolo 3,"[""Si passa quindi alla votazione degli emendamenti relativi all'articolo 3""]",38.9749,0.6724,0.6667,32.5
Si ringrazia per l' attenzione e si inviano cordiali saluti,Si ringrazia per l'attenzione e si inviano cordiali saluti,"[""Si ringrazia per l'attenzione e si inviano cordiali saluti""]",23.3796,0.2581,0.3529,10.6
E non sarebbe una differenza di poco conto,La differenza non è di poco conto,['La differenza non è di poco conto'],46.1869,0.8036,0.4,27.8
Forse sarebbe la stessa cosa,è proprio la stessa cosa,['è proprio la stessa cosa'],70.8333,0.75,0.6667,39.8
"La Commissione prosegue l' esame , rinviato da ultimo nella seduta del 26 novembre 2003",La Commissione prosegue l'esame rinviato nella seduta del 26 novembre 2003,"[""La Commissione prosegue l'esame rinviato nella seduta del 26 novembre 2003""]",44.5304,0.6448,0.8182,29.0
"Era solo una bambina , dopo tutto",Era solo una bambina bambina,['Era solo una bambina bambina'],53.8889,0.6313,0.5,42.7
Mi sarebbe veramente di aiuto,Mi è stata di grande aiuto,['Mi è stata di grande aiuto'],76.3107,0.6464,0.2222,29.1
"Il bilancio consuntivo è costituito dalla relazione sulla gestione , lo stato patrimoniale , il conto economico e la nota integrativa","Il bilancio consuntivo è costituito dalla relazione sulla gestione, lo stato patrimoniale, il conto economico e la nota integrativa","['Il bilancio consuntivo è costituito dalla relazione sulla gestione, lo stato patrimoniale, il conto economico e la nota integrativa']",70.1576,0.8821,0.8,74.2
"La passera di mare è caratterizzata da una pelle liscia e marrone, da macchie rosse e da una cresta ossea dietro gli occhi","La passerella di mare è caratterizzata da una pelle bianca, marrone e marrone","['La passerella di mare è caratterizzata da una pelle bianca, marrone e chiara, da una cresta bianca dietro gli occhi']",14.8801,0.4166,0.375,24.6
Nessuno ha detto il contrario,nessuno ha detto il contrario,['nessuno ha detto il contrario'],46.2963,0.75,0.5,23.6
E questo probabilmente non è un bene,E non è un bene,['E non è un bene'],100.0,0.996,1.0,100.0
Ti ringrazio anticipatamente della risposta,Ti ringrazio per la tua risposta,['Ti ringrazio per la tua risposta'],55.754,0.5011,0.2222,18.0
Dov' è il trucco,Dove è allora il trucco,['Dove è allora il trucco'],100.0,0.996,1.0,100.0
E come può fare questo,E come può fare questo,['E come può fare questo'],50.463,0.5515,0.4444,35.0
Non mi tornano i conti,Altrimenti i conti non tornano,['Altrimenti i conti non tornano'],66.6667,0.535,0.2222,20.8
"Saulchery è un comune del dipartimento dell'Aisne, in Piccardia, nel nord della Francia","Saulyy è un comune. Si trova nella regione Picardie, nel dipartimento dell'Aisne, nel nord della Francia","[""Saulyy è un comune. Si trova nella regione Picardie, nel dipartimento dell'Aisne, nel nord della Francia""]",89.5738,0.9473,0.9333,94.3
"Dichiara , quindi , conclusa la seduta",Dichiara quindi conclusa la seduta,['Dichiara quindi conclusa la seduta'],100.0,0.996,1.0,100.0
Per ora sono limitati a due combinazioni di colori e possono cantare tre nuove canzoni e ballare,Sono limitati a due combinazioni di colori e possono cantare tre canzoni diverse,['Sono limitati a due combinazioni di colori e possono cantare tre canzoni e possono ballare tre settimane'],25.6174,0.7095,0.7143,55.4
"Rinvia , pertanto , ad altra seduta il seguito della discussione",Rinvia quindi il seguito della discussione ad altra seduta,['Rinvia quindi il seguito della discussione ad altra seduta'],66.1111,0.7687,0.625,29.8
Anche questo è un effetto della globalizzazione,Questo è un effetto della globalizzazione,['Questo è un effetto della globalizzazione'],50.4924,0.7014,0.5,38.0
"Com' è la situazione , oggi",ed ora com'è la situazione,"[""Com'è la situazione economica""]",27.7778,0.8164,0.5714,21.4
Non è una novità irrilevante,Non è una novità assoluta,['Non è una novità assoluta'],83.3333,0.6468,0.75,44.8
Adesso il tempo è finito,Il tempo debito è finita,['Il tempo debito è finita'],25.1984,0.5111,0.3333,12.7
Ne varrebbe davvero la pena,Ma ne varrà davvero la pena,['Ma ne varrà davvero la pena'],73.6111,0.8067,0.6,38.0
Me l' ha fatto un mio amico,Così ho fatto un mio amico,['Così ho fatto un mio amico'],25.0,0.0,0.0,4.1
Questo è il punto cruciale,Questo è il vero punto critico,['Questo è il punto importante'],28.2407,0.3922,0.2857,9.7
"C' è una differenza , anche se sottile",C'è una sottile ma sostanziale differenza,"[""C'è una sottile ma sostanziale differenza""]",43.1944,0.9498,0.5,18.0
Questo non è una novità,Non è questo certo una novità,"[""Quest'ultima non è una novità assoluta""]",33.5185,0.4808,0.2222,15.2
piano piano non c' è fretta,Non c'era alcuna fretta,"[""Non c'era alcuna fretta""]",59.1667,0.4406,1.0,27.5
Alcuni sono persino in buona fede,Magari sono anche in buona fede,['Magari sono anche in buona fede'],66.6667,0.7353,0.4444,30.2
"Montchâlons è un comune del dipartimento dell'Aisne, in Piccardia, nel nord della Francia","Montchâl è un comune. Si trova nella regione Picardie, nel dipartimento dell'Aisne, nel nord della Francia","[""Montchâl è un comune. Si trova nella regione Picardie, nel dipartimento dell'Aisne, nel nord della Francia""]",89.5738,0.9473,0.875,94.3
"Le relative deliberazioni sono adottate , a maggioranza dei presenti",Le deliberazioni vengono adottate a maggioranza dei presenti,['Le deliberazioni sono adottate a maggioranza assoluta dei presenti'],71.6162,0.8919,0.8,67.5
Avviene ( ovviamente ) esattamente il contrario,"Anzi, avviene esattamente il contrario","['Anzi, avviene esattamente il contrario']",76.6667,0.7782,0.75,50.8
Ma cosa gli può essere successo,Ma che cosa può essere successo,['Ma che cosa può essere successo'],94.0741,0.9765,0.8889,50.8
Ed è un errore,Ed è un grande errore,['Ed è un grande errore'],100.0,0.996,1.0,100.0
"Almeno , questa è la mia convinzione",è questa la mia personale convinzione,['Questa è la mia personalissima convinzione'],57.8241,0.526,0.0,19.3
"Chissà , i presupposti ci sono tutti",Ci sono tutti i presupposti,['Ci sono tutti i presupposti'],100.0,0.996,1.0,100.0
"Purtroppo , però , le cose stanno in modo diverso",Purtroppo le cose stanno in modo diverso,['Purtroppo le cose stanno in modo diverso'],61.3095,0.7577,0.7692,70.1
"Il risultato , comunque , è sotto gli occhi di tutti",I risultati sono sotto i nostri occhi,['I risultati sono sotto i nostri occhi'],36.3591,0.4227,0.2857,14.8
"Un film , comunque , da vedere",un film da vedere comunque,['un film da vedere comunque'],79.6296,0.7938,0.75,66.9
Che è stata un successo,È stato certamente un successo,['È stato certamente un successo'],100.0,0.996,1.0,100.0
Ha sostituito i segnapunti ambulanti con volontari dotati di laser - ne servono circa 350 per ogni evento - per misurare i drive roboanti di Bubba Watson e i birdie in tap-in di Tiger Woods,"Ha sostituito i marcatori. Circa 350 volontari dotati di laser misurano i colpi dei giocatori di golf, come i birdie di Tiger Woods","['Ha sostituito i marcatori. Circa 350 volontari dotati di laser misurano i colpi dei giocatori di golf, come i birdie di Tiger Woods']",55.4316,0.6689,0.4737,28.9
E questo è molto grave,Tutto questo è molto grave,['Tutto questo è molto grave'],47.1429,0.4331,0.3333,23.0
questo s' è proprio montato la testa,c'è una testa strana,"[""c'è una testa strana""]",50.0,0.1282,0.0,5.9
Questa è una storia molto più lunga,Questa è una lunga storia,['Questa è una lunga storia'],65.7407,0.75,0.3333,42.7
Questo è un dilemma ora,Ma è un mio diletto,['Ma è un mio diletto'],50.0,0.1695,0.0,10.4
La risposta è semplice : SI,La risposta è abbastanza semplice,['La risposta è abbastanza semplice'],49.3056,0.5111,0.0,23.6
"Beh , questo è un altro discorso",È tutto un altro discorso,['È tutto un altro discorso'],35.1852,0.6356,0.5714,32.6
L' emendamento è stato respinto,Quindi l'emendamento deve essere respinto,"[""Quindi l'emendamento deve essere respinto""]",31.8056,0.0847,0.25,10.7
La questione è tutta qui,E la questione è proprio tutta qui,['E la questione è proprio tutta qui'],62.9167,0.4827,0.25,13.1
"Non c’è modo di diventare più intimi, ecco il punto",Non c ’ è un modo di diventare amici,['Non c ’ è un modo di diventare più felice'],45.0,0.2083,0.0,4.8
"L' emendamento 4.2 , posto ai voti , è respinto",Posto ai voti l'emendamento 10. 2 è respinto,"[""Posto ai voti l'emendamento 10. 2 è respinto""]",58.5317,0.5378,0.4286,22.3
Mi trovo molto molto bene,Mi sono trovato molto bene,['Mi sono trovato molto bene'],95.8333,0.996,1.0,100.0
"È una pianta erbacea , alta da 10 a 40 cm",È una pianta alta da 10 cm fino a 40 m,['È una pianta alta da 10 cm fino a 40 m'],100.0,0.9996,1.0,100.0
Qual è esattamente il suo parere,Ma qual è il suo parere,['Ma è un suo parere'],74.9074,0.9765,0.5714,50.8
"Un problema , però , c' è",C'è però qualche piccolo problema pratico,"[""C'è però qualche piccolo problema pratico""]",43.75,0.4688,0.0,6.9
e dove sarebbe il problema,E dunque qual è il problema,['E dunque qual è il problema'],45.8333,0.0,0.0,4.1
Ce ne sono tanti sotto gli occhi di tutti,È stato sotto gli occhi di tutti,['È stato sotto gli occhi di tutti'],100.0,0.9985,1.0,100.0
"L' orario giornaliero di lavoro sarà esposto in apposita tabella , da affigger- si secondo le norme di legge",L'orario invernale di lavoro sarà esposizione in apposita tabella di legge da affittere secondo le norme di legge,"[""L'orario invernale di lavoro sarà esposizione in apposita tabella di legge da affittere secondo le norme di legge""]",54.388,0.4571,0.3529,24.6
"Muore a Napoli , nel 1704",Morì a Napoli nel 1704,['Morì a Napoli nel 1704'],63.1019,0.7938,0.75,66.9
"A partire dalla pubblicazione iniziale di XML 1.0, sono state sviluppate numerose specifiche strettamente correlate a XML. Spesso il termine `` XML'' viene usato per riferirsi a XML insieme a una o più di queste altre tecnologie che sono state considerate parte del nucleo di XML","A partire dalla pubblicazione originale di XML 1. 0, sono state create tre serie di strettamente correlate a XMPP. Ogni parola può essere usata per indicare un numero di informazioni che sono state considerate parte del nucleo di Xml","['A partire dalla pubblicazione originale di XMP 1, sono state create alcune specifiche strettamente correlate a XMPP. Ogni termine viene utilizzato per indicare una o più tecnologie che sono state considerate parte del nucleo di Xml']",34.0211,0.1429,0.0,1.0
Resterà in carcere fino al 1991,In carcere restano in 1972,['In carcere restano in 1972'],83.75,0.7938,0.75,66.9
"Conseguentemente , all' articolo 5 , sostituire il comma 2 con il seguente : « 2",All'articolo 5 : il comma 2 è sostituito dal seguente : « 2,"[""All'articolo 5 : il comma 2 è sostituito dal seguente : « 2""]",43.9759,0.5516,0.3158,16.7
"Nessuno altro chiedendo di intervenire , la Commissione approva la proposta del relatore","Nessun altro chiedendo di intervenire, la Commissione approva la proposta del relatore","['Nessun altro chiedendo di intervenire, la Commissione approva la proposta del relatore']",50.5728,0.8893,0.8571,57.8
"La Commissione prosegue l' esame congiunto , rinviato nella seduta del 7 ottobre 2004",La Commissione prosegue l'esame rinviato da ultimo nella seduta del 7 ottobre 2004,"[""La Commissione prosegue l'esame rinviato da ultimo nella seduta del 7 ottobre 2004""]",44.7079,0.7588,0.8333,49.7
Quindi effettivamente questo è un grande problema,Questo è un grande problema,['Questo è un grande problema'],50.463,0.6356,0.2857,19.4
Alcune poesie sono state pubblicate in antologie,Alcune poesie sono state pubblicate in antologia,['Alcune poesie sono state pubblicate in antologia'],36.7063,0.5646,0.3077,16.1
La realtà è però estremamente più complessa,La realtà è più complessa,['La realtà è più complessa'],85.5556,0.8441,0.8571,54.8
"Potrebbe , ma la realtà è un' altra",La realtà purtroppo è un'altra,"[""Ma la realtà spesso è un'altra""]",44.5833,0.3758,0.5,19.4
è stata aperta un' inchiesta,Un'altra inchiesta è stata aperta,"[""Un'altra inchiesta è stata aperta""]",67.4074,0.5836,1.0,54.8
Per ulteriori informazioni consultare il sito,Per ulteriori informazioni si può consultare il sito,['Per ulteriori informazioni si può consultare il sito'],66.6667,0.8294,0.6154,34.6
"Ha 12 anni , forse , meno","Ha 12 anni, forse più recente","['Ha 12 anni, forse più recente']",62.5,0.9577,0.75,61.5
"L'indianizzazione fu ritenuta un vero e proprio processo di civilizzazione, in cui i popoli locali erano grossomodo recipienti passivi, oltre che dai teorici della ""Grande India"", come Majumdar (che formularono ipotesi di evangelizzazione su larga scala da parte di bramini o colonizzazione vera e propria da parte di gruppi di indiani, della casta dei mercanti o dei guerrieri), dalla generazione di studiosi che si occuparono della decifrazione delle culture del sudest asiatico in epoca coloniale, come Coedès, autore di Les états hindouisés d'Indochine et d'Indonésie, e nelle sintesi di lavori precedenti come la monumentale A history of Southeast Asia di D.G.E.Hall. Il concetto venne sottoposto a una revisione critica nei decenni successivi da autori come Mabbett, che indicò anche l'opportunità di evitare la percezione della cultura indiana come un monolite omogeneo che gli appariva caratteristica dei sanscritisti","L'India fu valutata un vero e proprio sistema di civilizzazione, in cui i popoli che si occupavano della cultura indiana erano grosso modo diversi. Questo epoca fu molto diversa dai teorici della "" Prima Guerra Mondiale "", come naturale evoluzione dei cultural - occidentale","[""L'India è stata un'importante autorità di civilizzazione asiatica, in cui i popoli che si oppongono, erano grosso modo diversi e che nei secoli successivi erano molto diversi""]",6.2709,0.1347,0.1376,2.7
Però faccio solo un' ipotesi,Ma facciamo un'ipotesi,"[""Ma facciamo un'ipotesi""]",42.9167,0.0,0.2857,0.0
Non esiste una terapia risolutiva,Non esiste una sola terapia sintomatica,['Non esiste una sola terapia sintomatica'],54.3651,0.5011,0.2222,18.0
E questo potrebbe essere un segnale importante,Questo era un cattivo segnale,['Questo era un cattivo segnale'],37.9167,0.2542,0.0,10.4
"Il 30 luglio seguente fa il suo esordio con la maglia degli Hammers, nel terzo turno preliminare di Europa League contro i rumeni dell'Astra Giurgiu, rendendosi suo malgrado protagonista dell'autogol che vale il 2-2 finale","Il 30 luglio seguente fa il suo esordio con la maglia degli Hamburgland, nel terzo turno di Europa League contro i rumeni dell'Astra Giurgiana contro i Ruggero e vale il 2 - 2","[""Il 30 luglio seguente fa la parte degli Hamburg, nel terzo turno preliminare di Europa League contro i rumeni dell'Astra Giur e rende il suo secondo turno dell'appello""]",25.488,0.6088,0.597,52.0
Questa è una delle domande,Questa è una domanda più difficile,['Questa è una domanda più difficile'],76.1905,0.5752,0.4444,43.0
Sono laureata in Lingue e Letterature Straniere ( inglese / francese,"Sono laureata in Lingue e Letterature Straniere ( inglese, francese e francese","['Sono laureata in Lingue e Letterature Straniere ( inglese, francese e francese']",66.2281,0.8893,0.7368,66.5
Non ne ho proprio idea,Non ne ho proprio la minima idea,['Non ne ho proprio la minima idea'],69.6296,0.9654,0.7273,41.1
E questo non è un film,Non è un film recente,['Non è un film recente'],55.5556,0.6356,0.5714,38.7
"La Commissione prosegue l' esame congiunto , rinviato nella seduta del 15 luglio 2004",La Commissione prosegue l'esame rinviato nella seduta dell'15 luglio 2004,"[""La Commissione prosegue l'esame rinviato nella seduta del 15 luglio 2004""]",34.0332,0.5727,0.6957,22.1
Insomma non è tutto oro quello che luccica,Non è tutto oro quello che luccica,['Non è tutto oro quello che luccica'],43.4066,0.5397,0.3636,14.3
"Beh , è proprio un bel risultato",Ed è un bellissimo risultato,['Ed è un bellissimo risultato'],44.6627,0.4331,0.0,19.4
Spese del presente grado di giudizio compensate,Le spese del presente grado di giudizio possono essere compensate,['Le spese del presente grado di giudizio possono essere compensate'],77.1429,0.8723,0.7059,66.1
Quali sono i passi ulteriori,Quali sono i passi successivi,['Quali sono i passi successivi'],33.3333,0.0,0.0,5.3
"Per il resto , non saprei",Per il resto non so,['Per il resto non so'],76.6667,0.6727,0.6667,54.8
Non era una messa in scena,Non è una messa in scena,['Non è una messa in scena'],100.0,0.9977,1.0,100.0
Spero di aver fatto un pò di chiarezza,Spero di fare un pò di chiarezza,['Spero di fare un pò di chiarezza'],20.1209,0.2885,0.2,14.5
"Circa 12000 anni fa la temperatura del pianeta ricominciò ad alzarsi, i ghiacci iniziarono a sciogliersi, le piogge ripresero a cadere: finiva l’Era glaciale e aveva inizio l’Era temperata, nella quale viviamo ancora oggi","Circa 1200 anni fa la temperatura del pianeta tornò ad alzarsi, i ghiacci iniziarono a cadere, le piogge iniziano a cadere per terra","[""Circa 1200 anni fa la temperatura del pianeta tornò ad alzarsi, i ghiacci iniziarono a cadere, le piogge iniziano a cadere ; questo inizio secoli ha inizio l'Era temperata""]",31.3577,0.2374,0.1176,6.6
Nel 2004 è stato nominato Ambasciatore di grado,Nel 2004 è stato nominato Amnesico di gradimento,['Nel 2004 è stato nominato Amnesico di gradimento'],33.8889,0.3945,0.1538,13.1
Per maggiori informazioni visitate la pagina,Per maggiori informazioni visitare la pagina,['Per maggiori informazioni visitare la pagina'],77.9365,0.8535,1.0,43.0
Mi sono persa un passaggio,mi sono persa qualche passaggio,['mi sono persa qualche passaggio'],63.254,0.75,0.5,23.6
I risultati sono : 1,I risultati sono stati 1,['I risultati sono stati 1'],51.5741,0.6356,0.5,35.0
C' è però una complicazione,Ma è una complicazione in più,['Ma è una complicazione in più'],55.6151,0.4574,0.0,19.3
Non dobbiamo far- ci illusioni,Non dobbiamo far - ci soverchie illusioni,['Non dobbiamo far - ci soverchie illusioni'],21.2963,0.5174,0.6,15.6
Perché le cose non ti vanno bene,Perché le cose non andavano bene,['Perché le cose non andavano bene'],46.9444,0.4907,0.4,30.2
Sono stati piantati in alcuni luoghi per abbassare la falda freatica e ridurre la salinizzazione del suolo,Sono stati piantati in alcuni luoghi per abbassare la falda fremitiva e ridurre la saliva del suolo,['Sono stati piantati in alcuni luoghi per abbassare la falda fremitiva e quindi ridurre la saliva del suolo'],44.4577,0.6902,0.6471,56.0
Questo è un altro discorso,Quesot è un altro discorso,['Quesot è un altro discorso'],35.4167,0.3758,0.0,15.8
"articolo , inserire il seguente : « Art",Dopo l'articolo 75 è inserito il seguente : Art,"[""Dopo l'articolo 75 è inserito il seguente : Art""]",28.3225,0.413,0.5714,18.0
Non sarebbe una brutta idea,Non è solo una bella idea,['Non è solo una bella idea'],71.8519,0.6189,0.0,19.3
"Le cose , naturalmente , non stanno così",Le cose invece non stavano esattamente così,['Ma fortunatamente le cose non stanno solo così'],46.2963,0.5174,0.1818,8.6
Questo è un buon segno,Ed è un buon segno,['Ed è un buon segno'],100.0,0.996,1.0,100.0
"I problemi , tuttavia , sono molti","Tuttavia, vi sono alcuni problemi","['Tuttavia, vi sono alcuni problemi']",45.1587,0.098,0.0,8.1
Questo sarebbe un falso problema,Questo è il grande problema,['Questo è un problema complesso'],67.6389,0.5111,0.0,23.6
Quindi non posso dar- le una risposta neanche su questo,Non posso dare una risposta,['Non posso dare una risposta'],100.0,0.996,1.0,100.0
Allora non sono il solo,Ma non sono il solo,['Ma non sono il solo'],52.1429,0.6356,0.4444,24.7
"Thrymr ha un diametro di circa 5,6 chilometri e orbita attorno a Saturno a una distanza media di 20.810 Mm in 1120,809 giorni, con un'inclinazione di 175 rispetto all'eclittica, in direzione retrograda e con un'eccentricità di 0,453","Thym ha un diametro di circa 5, 6 chilometri e orbita attorno a Saturno a una distanza media di 20. 810. 000 km in grado di misurare velocità media di 1750, con un'inclinazione di 180° rispetto all'eclittica e un'eccentricità di 0, 453","['Thym ha un diametro di circa 5, 6 chilometri e orbita attorno a Saturno a una distanza media di 20. 810. 000 km in grado di misurare velocità media di 1750']",43.1688,0.7156,0.7381,35.2
Quindi non facciamo- ci illusioni,Ma non dobbiamo comunque far - ci troppe illusioni,['Ma non dobbiamo comunque far - ci troppe illusioni'],79.2063,0.8179,0.7692,29.8
Perchè la mia risposta è sempre la stessa,La risposta è stata sempre la stessa,['La risposta è stata sempre la stessa'],61.455,0.9308,0.5,30.7
Ma questo non è un film,Ma non è un film,['Ma non è un film'],54.6296,0.6356,0.5714,23.0
è un' occasione che non possiamo perdere,è un'occasione da non perdere,"[""è un'occasione da non perdere""]",52.4008,0.5515,1.0,35.0
Questa è una brutta storia,È una storia vecchia,['È una storia vecchia'],52.9762,0.6009,0.4,24.9
Vi ringrazio per la disponibilità e vi porgo cordiali saluti,La ringrazio per la sua disponibilità e le porgo cordiali saluti,['La ringrazio per la sua disponibilità e le porgo cordiali saluti'],62.4074,0.5651,0.4,18.4
Più chiaro di così non si può essere,Più squallida di così non può essere,['Più squallida di così non può essere'],34.2063,0.6371,0.3333,27.8
"9 ] Quando di notte cadeva la rugiada sul campo , cadeva anche la manna","9 Quando di notte cade la rugiada sul campo, cade anche la manna","['9 Quando di notte cadeva la rugia sul campo, cadde anche la manna']",44.5164,0.6065,0.4,19.8
"Insomma , siamo proprio alla frutta","Caro jack, siamo alla frutta","['Caro jack, siamo alla frutta']",100.0,0.9977,1.0,100.0
Qui c' è un' occasione da non perdere,È veramente un'occasione da non perdere,"[""È veramente un'occasione da non perdere""]",28.9286,0.5435,0.8889,30.2
Forse la bambina può ancora essere salvata,Forse la bambina può essere salva,['Forse la bambina può essere salva'],40.873,0.3676,0.2222,16.2
"Sarà un caso , o forse no",Può essere solo un caso,['Può essere solo un caso'],60.5556,0.3178,0.2857,17.5
Glielo dice un bambino che c' era,Mi dice un bambino che c'era,"[""Mi dice un bambino che c'era""]",37.3611,0.3276,0.3636,15.2
"Ma non è tutto rose e fiori , naturalmente","Naturalmente, non sono tutte rose e fiori","['Naturalmente, non sono tutte rose e fiori']",70.1389,0.9736,0.8333,54.1
"Propone , infine , di esprimere parere non ostativo sui restanti emendamenti",Sui restanti emendamenti propone di esprimere un parere non ostativo,['Sui restanti emendamenti propone di esprimere un parere non ostativo'],76.7514,0.996,0.8889,58.1
E questo è solo il primo passo,è stato il primo passo,['è stato il primo passo'],100.0,0.996,1.0,100.0
Non sarebbe un problema da poco,Non è un problema,['Non è un problema'],68.2143,0.5597,0.2857,16.7
"Come si combatte , allora , il terrorismo",Come combattere allora il terrorismo,['Come combattere allora il terrorismo'],61.8056,0.4642,0.2,17.0
Questa non è casa mia,Non è mica solo mia la casa,['Non è mica solo mia la casa'],61.1111,0.607,0.0,15.6
Forse è proprio qui la differenza,La differenza è stata tutta qui,['La differenza è stata tutta qui'],100.0,0.9977,1.0,100.0
L'equazione di Dirac è l'equazione d'onda che descrive in modo relativisticamente invariante il moto delle particelle a spin semintero (fermioni,L'equazione di Dirac è un equazione d'onda che descrive in modo approssimativo il moto delleteroidi a spin graduato ( fermo o fermissimi,"[""L'equazione di Dirac è un'equatore d'onda che descrive in modo approssimativo il moto delleteroidi a spin apparente ( fermo o fermissimi""]",37.0283,0.6467,0.5263,29.4
Ma non è certo l' unico caso,Non è l'unico caso,"[""Non è l'unico caso""]",63.3929,0.4406,0.0,11.5
"Sostituire i commi 3 e 4 con il seguente : "" 3",I commi da 3 a 4 sono sostituiti con i seguenti : 3,['I commi da 3 a 4 sono sostituiti con i seguenti : 3'],100.0,0.9998,1.0,100.0
Tolstoj credeva che l'essere cristiano gli imponesse di essere pacifista; le conseguenze dell'essere pacifista e l'apparente inevitabilità della guerra da parte del governo lo resero un anarchico filosofico,Tolstoj credeva che l'essere cristiano gli imponesse di essere pacifista ; le conseguenze dell'essere umano furono un anarchico e l'impedimento della guerra da parte del governo lo renderono un leader liberale,"[""Tolstoj credeva che l'essere cristiani gli imponesse di essere pacifista ; le conseguenze dell'essere pacifizzato e l'impedimento della guerra da parte del governo lo rende un anarchico e rende questo anarchico più anarchico""]",40.2723,0.3786,0.12,7.3
"L' articolo 4 , infine , dispone l' entrata in vigore della legge per il giorno successivo a quello della sua pubblicazione in Gazzetta Ufficiale",L'articolo 4 dispone l'entrata in vigore della legge per il giorno successivo alla sua pubblicazione nella Gazzetta Ufficiale,"[""L'articolo 4 dispone l'entrata in vigore della legge per il giorno successivo alla sua pubblicazione nella Gazzetta Ufficiale""]",71.7527,0.74,1.0,71.3
"È accaduto , invece , esattamente il contrario",Invece è accaduto esattamente il contrario,['Invece è accaduto esattamente il contrario'],63.3333,0.7353,0.5,32.5
E tutto tornerà come prima,Tutto deve tornare come prima,['Tutto deve tornare come prima'],100.0,0.996,1.0,100.0
non mi è molto chiara questa cosa,Questa cosa non è assolutamente professionale,['Questa cosa non è assolutamente professionale'],77.7778,0.6615,0.5,50.8
"Un altro mondo non è solo possibile , bensì indispensabile",Un altro mondo non è possibile,['Un altro mondo non è possibile'],55.7479,0.8535,0.6667,67.3
"Sussistono , tuttavia , giusti motivi per compensare integralmente tra le parti le spese di giudizio",Sussistono comunque giusti motivi per compensare tra le parti le spese di giudizio,['Sussistono comunque giusti motivi per compensare tra le parti le spese di giudizio'],76.1571,0.9064,0.7826,75.4
"Le sorprese , dunque , non sono finite",Ma le sorprese non finirono,['Ma le sorprese non finirono'],86.1111,0.7938,0.75,66.9
"Naturalmente , non sono tutte rose e fiori",Non sono tutte rose e fiori ovviamente,['Non sono tutte rose e fiori ovviamente'],100.0,0.9985,1.0,100.0
E questo è già un grande successo,è stato un grande successo,['è stato un grande successo'],49.3056,0.5515,0.25,28.6
Non è solo un film sperimentale,Non è un un film commerciale,['Non è un un film commerciale'],72.381,0.7353,0.5714,35.9
Tutto è cominciato un anno fa,Tutto è cominciato qualche anno fa,['Tutto era cominciato qualche anno fa'],64.0741,0.625,0.25,32.5
è alto poco più di un metro,È alto più di un metro,['È alto più di un metro'],39.8106,0.5088,0.5455,36.4
Allora il punto è proprio questo,Il punto è proprio qui,['Il punto è proprio qui'],35.4167,0.3,0.0,12.7
"Qui , purtroppo , non sono d' accordo",Non sono del tutto d'accordo,"[""Non sono del tutto d'accordo""]",30.0397,0.2757,0.4,8.7
E tutto sarebbe tornato come prima,Tutto deve tornare come prima,['Tutto deve tornare come prima'],100.0,0.996,1.0,100.0
è molto facile e divertente,Ed è stato molto divertente,['Ed è stato molto divertente'],55.8532,0.5111,0.0,23.6
"Si sostituisca il comma 1 dell' articolo 20 con il seguente : "" 1",Il comma 1 dell'articolo 20 è sostituito con il seguente : 1,"['Il comma 1 dell\'articolo 20 è sostituito dal seguente : "" 1']",33.307,0.5215,0.7368,16.7
